title,file_name,file_type,policy_category,policy_level,issuing_department,applicable_scope,publish_date,effective_from,effective_to,source_url,local_path,source_type,parse_priority
数字乡村发展战略纲要,digital_village_strategy_outline.html,html,数字乡村建设,国家,中共中央办公厅 国务院办公厅,全国,2019-05-16,2019-05-16,,https://www.gov.cn/zhengce/2019-05/16/content_5392269.htm,M0_交付物/digital_village/digital_village_strategy_outline.html,seed_dv,1
中华人民共和国乡村振兴促进法,rural_revitalization_law.html,html,乡村振兴,国家,全国人民代表大会常务委员会,全国,2021-04-29,2021-06-01,,https://www.gov.cn/xinwen/2021-04/29/content_5603969.htm,M0_交付物/digital_village/rural_revitalization_law.html,seed_dv,1
农机购置与应用补贴实施方案,farm_machinery_subsidy_2024.html,html,农业补贴,国家,农业农村部 财政部,全国,2024-04-15,2024-04-15,2025-12-31,https://www.moa.gov.cn/,M0_交付物/digital_village/farm_machinery_subsidy_2024.html,seed_dv,1
返乡入乡创业扶持政策要点,return_home_startup_policy.html,html,返乡创业,国家,人力资源社会保障部 农业农村部,全国,2023-05-20,2023-05-20,,https://www.gov.cn/,M0_交付物/digital_village/return_home_startup_policy.html,seed_dv,2
农村电商高质量发展实施意见,rural_ecommerce_policy.html,html,农产品电商,国家,商务部 农业农村部,全国,2023-09-15,2023-09-15,,https://www.mofcom.gov.cn/,M0_交付物/digital_village/rural_ecommerce_policy.html,seed_dv,2
农民专业合作社登记管理条例,cooperative_regulation.html,html,创业扶持,国家,国务院,全国,2007-05-28,2007-07-01,,https://www.gov.cn/,M0_交付物/digital_village/cooperative_regulation.html,seed_dv,2
发展壮大村级集体经济指导意见,village_collective_economy.html,html,村集体经济,国家,中共中央组织部 财政部 农业农村部,全国,2021-06-15,2021-06-15,,https://www.gov.cn/,M0_交付物/digital_village/village_collective_economy.html,seed_dv,2
